id;Dossier structure;Dossier type;Product of last dossier version;Personal household (support unit);Persons in household total;Person category;Marital status;Nationality categories;In CH since birth;Age categories;Employment situation;Degree of employment;Part-time reason;Highest completed education;Trained profession category;last job category
id01115;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;EU / EFTA;FALSE;46-55;vorübergehend arbeitsunfähig;;;nicht feststellbar;kein | keine;Verkaufskräfte
id03188;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;TRUE;36-45;Dauerinvalidität;;;Anlehre;Berufe im Bereich personenbezogener Dienstleistungen;Hilfsarbeiter in der Land- und Forstwirtschaft und Fischerei
id02902;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;EU / EFTA;TRUE;36-45;vorübergehend arbeitsunfähig;;;Anlehre;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id04640;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;EU / EFTA;FALSE;56-65;Arbeit auf Abruf;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;nicht feststellbar;kein | keine;Reinigungspersonal und Hilfskräfte
id03380;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;TRUE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Verkaufskräfte
id02286;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;3;Mehrfachhaushalt (>3);Person mit Kind / Kinder;ledig;EU / EFTA;FALSE;26-35;Arbeit auf Abruf;Mehrere Teilzeitstellen;;obligatorische Schule;kein | keine;Reinigungspersonal und Hilfskräfte
id02176;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;geschieden;EU / EFTA;FALSE;46-55;vorübergehend arbeitsunfähig;;;obligatorische Schule;kein | keine;
id01864;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;>3;Mehrfachhaushalt (>3);Person mit Kind / Kinder;verheiratet;EU / EFTA;FALSE;46-55;Haushalt, familiäre Gründe;;;obligatorische Schule;kein | keine;kein | keine
id01603;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;TRUE;56-65;vorübergehend arbeitsunfähig;;;Berufslehre/-schule;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id02296;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;EU / EFTA;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;Verkaufskräfte;Verkaufskräfte
id00553;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;>3;Mehrfachhaushalt (>3);Person mit Kind / Kinder;geschieden;EU / EFTA;FALSE;46-55;Haushalt, familiäre Gründe;;;obligatorische Schule;Berufe im Bereich personenbezogener Dienstleistungen;Berufe im Bereich personenbezogener Dienstleistungen
id02768;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Allgemeine Büro- und Sekretariatskräfte
id04328;Sozialhilfe;Ausländer/innen;Rückerstattung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;FALSE;36-45;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id04946;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;TRUE;26-35;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;Berufslehre/-schule;Berufe im Bereich personenbezogener Dienstleistungen;Berufe im Bereich personenbezogener Dienstleistungen
id01213;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;2;Mehrfachhaushalt (2-3);Person mit Kind / Kinder;verheiratet;EU / EFTA;FALSE;36-45;Haushalt, familiäre Gründe;;;obligatorische Schule;kein | keine;kein | keine
id04779;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;TRUE;18-25;ohne Arbeit, nicht beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;kein | keine
id01689;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;1;Mehrfachhaushalt (2-3);Alleinstehend;ledig;EU / EFTA;TRUE;26-35;in der Lehre;Vollzeit(90+);;obligatorische Schule;kein | keine;Berufe im Bereich personenbezogener Dienstleistungen
id04252;Sozialhilfe;Ausländer/innen;Sozialhilfeleistung;>3;Mehrfachhaushalt (>3);Paar mit Kind / Kinder;verheiratet;EU / EFTA;FALSE;36-45;Angestellt, regelmässig;Eine Teilzeitstelle (bis 49%);keine Vollzeitstelle;nicht feststellbar;kein | keine;Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker
id02999;Sozialhilfe;Ausländer/innen;Rückerstattung;1;Einzelhaushalt;Alleinstehend;ledig;EU / EFTA;FALSE;46-55;ohne Arbeit, beim Arbeitsamt gemeldet;;;obligatorische Schule;kein | keine;Hilfsarbeitskräfte, onA
