ID;Dossier von;Dossier bis;Produkt
id02270;2021-08;2021-12;Sozialhilfeleistung
id03410;2019-08;2021-01;Sozialhilfeleistung
id01383;2019-02;2019-05;Sozialhilfeleistung
id02268;2019-07;2021-12;Sozialhilfeleistung
id04133;2019-07;2020-02;Sozialhilfeleistung
id04133;2021-03;2021-09;Sozialhilfeleistung
id00624;2018-10;2020-02;Sozialhilfeleistung
id00624;2020-02;2021-03;Sozialhilfeleistung
id01912;2018-05;2021-12;Sozialhilfeleistung
id04026;2018-08;2018-08;Sozialhilfeleistung
id01827;2018-07;2018-08;Sozialhilfeleistung
id01827;2019-07;2020-01;Sozialhilfeleistung
id00623;2018-06;2018-11;Sozialhilfeleistung
id00623;2018-11;2021-12;Sozialhilfeleistung
id03952;2021-08;2021-12;Sozialhilfeleistung
id03952;2022-01;;Sozialhilfeleistung
id04927;2019-09;2021-04;Sozialhilfeleistung
id03679;2018-11;2019-05;Sozialhilfeleistung
id01007;2022-01;;Rückerstattung
id02802;2019-03;2019-04;Sozialhilfeleistung
id02528;2018-12;2019-06;Sozialhilfeleistung
id00418;2018-08;2018-12;Sozialhilfeleistung
id03133;2019-07;2019-12;Sozialhilfeleistung
id01723;2022-01;;Sozialhilfeleistung
id02316;2018-11;2019-04;Sozialhilfeleistung
id03014;2018-09;2019-03;Sozialhilfeleistung
id03014;2019-04;2020-03;Rückerstattung
id02413;2018-10;2021-12;Sozialhilfeleistung
id02413;2022-01;;Sozialhilfeleistung
id00325;2018-09;2018-12;Sozialhilfeleistung
id04792;2018-09;2018-10;Sozialhilfeleistung
id02277;2018-10;2019-05;Sozialhilfeleistung
id02277;2020-12;2021-11;Sozialhilfeleistung
id03581;2019-02;2019-05;Sozialhilfeleistung
id03581;2020-03;2020-12;Sozialhilfeleistung
id03225;2022-01;;Sozialhilfeleistung
id03193;2019-04;2020-06;Sozialhilfeleistung
id03193;2020-07;2021-12;Sozialhilfeleistung
id00217;2018-10;2018-12;Sozialhilfeleistung
id04090;2019-07;2020-07;Sozialhilfeleistung
id04090;2022-01;;Rückerstattung
id00841;2022-01;;Sozialhilfeleistung
id00781;2018-10;2019-02;Sozialhilfeleistung
id04884;2020-10;2021-04;Sozialhilfeleistung
id04663;2019-07;2020-08;Sozialhilfeleistung
id01577;2018-11;2019-06;Sozialhilfeleistung
id02570;2018-11;2019-07;Sozialhilfeleistung
id04802;2021-07;2021-12;Sozialhilfeleistung
id02713;2018-12;2020-02;Sozialhilfeleistung
id03819;2021-12;2021-12;Sozialhilfeleistung
id04922;2019-01;2019-07;Sozialhilfeleistung
id04922;2022-01;;Sozialhilfeleistung
id01486;2020-02;2020-03;Sozialhilfeleistung
id01258;2019-05;2019-06;Sozialhilfeleistung
id01258;2019-07;2019-10;Sozialhilfeleistung
id00947;2020-02;2020-12;Sozialhilfeleistung
id00947;2022-02;2022-09;Sozialhilfeleistung
id00927;2019-01;2019-09;Sozialhilfeleistung
id00024;2021-05;2021-05;Sozialhilfeleistung
id00843;2019-04;2021-12;Sozialhilfeleistung
id00686;2019-07;2020-06;Sozialhilfeleistung
id00686;2021-04;2021-12;Sozialhilfeleistung
id04009;2022-01;;Sozialhilfeleistung
